[ 2025-04-10 02:25:08,655 ] 15 root - INFO - initiate data ingestion
[ 2025-04-10 02:25:15,470 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-10 02:25:15,470 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-10 02:25:15,471 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-10 02:25:15,505 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-10 02:25:15,505 ] 18 root - INFO - completed data ingestion
[ 2025-04-10 02:25:15,506 ] 19 root - INFO - initiate data validation
[ 2025-04-10 02:25:15,585 ] 32 root - INFO - Required number of columns:2
[ 2025-04-10 02:25:15,586 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-10 02:25:15,586 ] 32 root - INFO - Required number of columns:2
[ 2025-04-10 02:25:15,586 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-10 02:25:15,710 ] 25 root - INFO - completed data validation
[ 2025-04-10 02:25:15,710 ] 28 root - INFO - data Transformation started
[ 2025-04-10 02:25:15,711 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-10 02:25:15,711 ] 65 root - INFO - Starting data transformation
[ 2025-04-10 02:25:15,730 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-10 02:25:15,730 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-10 02:25:15,744 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-10 02:25:15,749 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-10 02:25:15,749 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-10 02:25:15,752 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-10 02:25:15,754 ] 32 root - INFO - data Transformation completed
